"House","Serial number","Name","Date (Europe/Paris)","Value (Wh)"
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 09:30:00",14
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 10:00:00",16
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 10:30:00",25
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 11:00:00",82
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 11:30:00",119
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 12:00:00",125
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 12:30:00",125
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 13:00:00",136
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 13:30:00",147
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 14:00:00",149
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 14:30:00",147
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 15:00:00",145
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 15:30:00",142
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 16:00:00",134
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 16:30:00",128
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 17:00:00",45
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 17:30:00",31
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 18:00:00",39
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 18:30:00",59
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 19:00:00",49
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 19:30:00",19
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 20:00:00",6
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 20:30:00",4
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 21:00:00",3
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 21:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 00:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 03:30:00",0
